institution_id,UNITID,school_id,gss_code,year,Institution_Name,hdg_inst,toc_code,institution_state,hbcu_flag,land_grant_flag,carnegie_code_1994,carnegie_code_2005,carnegie_code_2010,carnegie_code_2015,full_school_name,school_name,school_zip,school_type_code,hdg_code,ft_tot_all_races_v,ft_tot_forgn_v,ft_tot_hisp_v,ft_tot_indian_v,ft_tot_asian_v,ft_tot_black_v,ft_tot_pacific_v,ft_tot_white_v,ft_tot_multi_non_hisp_v,ft_tot_asian_pi_98_v,ft_tot_other_98_v,ft_tot_unknown_v,ft_men_all_races_v,ft_men_forgn_v,ft_men_hisp_v,ft_men_indian_v,ft_men_asian_v,ft_men_black_v,ft_men_pacific_v,ft_men_white_v,ft_men_multi_non_hisp_v,ft_men_asian_pi_98_v,ft_men_other_98_v,ft_men_unknown_v,ft_wmen_all_races_v,ft_wmen_forgn_v,ft_wmen_hisp_v,ft_wmen_indian_v,ft_wmen_asian_v,ft_wmen_black_v,ft_wmen_pacific_v,ft_wmen_white_v,ft_wmen_multi_non_hisp_v,ft_wmen_asian_pi_98_v,ft_wmen_other_98_v,ft_wmen_unknown_v,ft_frst_tot_all_races_v,ft_frst_tot_forgn_v,ft_frst_tot_hisp_v,ft_frst_tot_indian_v,ft_frst_tot_asian_v,ft_frst_tot_black_v,ft_frst_tot_pacific_v,ft_frst_tot_white_v,ft_frst_tot_multi_non_hisp_v,ft_frst_tot_unknown_v,ft_frst_men_all_races_v,ft_frst_men_forgn_v,ft_frst_men_hisp_v,ft_frst_men_indian_v,ft_frst_men_asian_v,ft_frst_men_black_v,ft_frst_men_pacific_v,ft_frst_men_white_v,ft_frst_men_multi_non_hisp_v,ft_frst_men_unknown_v,ft_frst_wmen_all_races_v,ft_frst_wmen_forgn_v,ft_frst_wmen_hisp_v,ft_frst_wmen_indian_v,ft_frst_wmen_asian_v,ft_frst_wmen_black_v,ft_frst_wmen_pacific_v,ft_frst_wmen_white_v,ft_frst_wmen_multi_non_hisp_v,ft_frst_wmen_unknown_v
1074,159391,1307,109,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,59,0,0,0,,1,,16,,41,,1,57,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,0,,,,,,,,,
1074,159391,1307,112,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,2,19,13,0,0,,0,,6,,0,,0,12,,,,,,,,,,,,7,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,
1074,159391,1307,113,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,15,13,0,0,,0,,2,,0,,0,14,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,
1074,159391,1307,114,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,30,23,0,0,,0,,7,,0,,0,23,,,,,,,,,,,,7,,,,,,,,,,,,10,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,
1074,159391,1307,202,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,98,56,0,0,,2,,37,,3,,0,65,,,,,,,,,,,,33,,,,,,,,,,,,21,,,,,,,,,,13,,,,,,,,,,8,,,,,,,,,
1074,159391,1307,203,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,67,53,0,0,,1,,13,,0,,0,52,,,,,,,,,,,,15,,,,,,,,,,,,16,,,,,,,,,,14,,,,,,,,,,2,,,,,,,,,
1074,159391,1307,302,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,43,18,0,0,,0,,25,,0,,0,30,,,,,,,,,,,,13,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,
1074,159391,1307,303,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,38,0,2,0,,0,,31,,1,,4,34,,,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
1074,159391,1307,401,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,86,42,0,0,,0,,19,,25,,0,72,,,,,,,,,,,,14,,,,,,,,,,,,13,,,,,,,,,,10,,,,,,,,,,3,,,,,,,,,
1074,159391,1307,402,1990,Louisiana State University,1,1,LA,0,1,R1,15,15,15,Louisiana State University: The Graduate School in Baton Rouge,The Graduate School in Baton Rouge,,G,1,65,15,3,0,,4,,28,,15,,0,44,,,,,,,,,,,,21,,,,,,,,,,,,36,,,,,,,,,,26,,,,,,,,,,10,,,,,,,,,
